County,Year,Month,Max_Temp
ALAMEDA,2013,11,65.2
ALAMEDA,2013,12,57.7
ALAMEDA,2014,1,64.5
ALAMEDA,2014,2,60.8
ALAMEDA,2014,3,67
ALAMEDA,2014,4,70.2
ALAMEDA,2014,5,77.1
ALAMEDA,2014,6,81.5
ALAMEDA,2014,7,85
ALAMEDA,2014,8,82.9
ALAMEDA,2014,9,81.6
ALAMEDA,2014,10,78.3
ALAMEDA,2014,11,65.7
ALAMEDA,2014,12,58.9
ALAMEDA,2015,1,61
ALAMEDA,2015,2,65.4
ALAMEDA,2015,3,70.8
ALAMEDA,2015,4,69.6
ALAMEDA,2015,5,68.8
ALAMEDA,2015,6,81.9
ALAMEDA,2015,7,82.8
ALAMEDA,2015,8,83.7
ALAMEDA,2015,9,84
ALAMEDA,2015,10,78.7
ALAMEDA,2015,11,60.8
ALAMEDA,2015,12,54.8
ALAMEDA,2016,1,56.2
ALAMEDA,2016,2,65.5
ALAMEDA,2016,3,64.1
ALAMEDA,2016,4,69.6
ALAMEDA,2016,5,73.6
ALAMEDA,2016,6,82.8
ALAMEDA,2016,7,83.8
ALAMEDA,2016,8,81.9
ALAMEDA,2016,9,81.6
ALAMEDA,2016,10,71.6
ALAMEDA,2016,11,64.1
ALAMEDA,2016,12,55.4
ALAMEDA,2017,1,53.6
ALAMEDA,2017,2,58.2
ALAMEDA,2017,3,65.4
ALAMEDA,2017,4,66.8
ALAMEDA,2017,5,74.9
ALAMEDA,2017,6,81.2
ALAMEDA,2017,7,86.8
ALAMEDA,2017,8,84
ALAMEDA,2017,9,83
ALAMEDA,2017,10,76.6
ALAMEDA,2017,11,63.6
ALAMEDA,2017,12,59.9
ALAMEDA,2018,1,58.7
ALAMEDA,2018,2,62.5
ALAMEDA,2018,3,61.3
ALAMEDA,2018,4,67.3
ALAMEDA,2018,5,70.6
ALAMEDA,2018,6,80.8
ALAMEDA,2018,7,85.9
ALAMEDA,2018,8,82.2
ALAMEDA,2018,9,80.4
ALAMEDA,2018,10,75.5
ALAMEDA,2018,11,66.2
ALAMEDA,2018,12,56.6
ALAMEDA,2019,1,58.4
ALAMEDA,2019,2,53.3
ALAMEDA,2019,3,60.6
ALAMEDA,2019,4,69.8
ALAMEDA,2019,5,68.4
ALAMEDA,2019,6,81.8
ALAMEDA,2019,7,83.1
ALAMEDA,2019,8,85.6
ALAMEDA,2019,9,80.6
ALAMEDA,2019,10,75.1
ALAMEDA,2019,11,67
ALAMEDA,2019,12,56.4
ALAMEDA,2020,1,57.1
ALAMEDA,2020,2,64.8
ALAMEDA,2020,3,60.4
ALAMEDA,2020,4,68.2
ALAMEDA,2020,5,76.8
ALAMEDA,2020,6,82.4
ALAMEDA,2020,7,84.5
ALAMEDA,2020,8,88.2
ALAMEDA,2020,9,85.6
ALAMEDA,2020,10,81.7
ALAMEDA,2020,11,65
ALAMEDA,2020,12,59.9
ALAMEDA,2021,1,59.1
ALAMEDA,2021,2,61.5
ALAMEDA,2021,3,62.7
ALAMEDA,2021,4,70.3
ALAMEDA,2021,5,76
ALAMEDA,2021,6,81.5
ALAMEDA,2021,7,85.5
ALAMEDA,2021,8,85.2
ALAMEDA,2021,9,83.3
ALAMEDA,2021,10,71.3
ALAMEDA,2021,11,65.3
ALAMEDA,2021,12,54
ALAMEDA,2022,1,60.7
ALAMEDA,2022,2,64.5
ALAMEDA,2022,3,67.5
ALAMEDA,2022,4,69.2
ALAMEDA,2022,5,75
ALAMEDA,2022,6,82.8
ALAMEDA,2022,7,82.2
ALAMEDA,2022,8,86.1
ALAMEDA,2022,9,85.3
ALAMEDA,2022,10,76.5
ALAMEDA,2022,11,61.5
ALAMEDA,2022,12,55
ALAMEDA,2023,1,56.8
ALAMEDA,2023,2,56.7
ALAMEDA,2023,3,57
ALAMEDA,2023,4,68.1
ALAMEDA,2023,5,70.1
ALAMEDA,2023,6,75.3
ALAMEDA,2023,7,86.3
ALAMEDA,2023,8,86.4
ALAMEDA,2023,9,77.8
ALAMEDA,2023,10,76.7
ALAMEDA,2023,11,67.2
ALAMEDA,2023,12,60.8
ALAMEDA,2024,1,59.2
ALAMEDA,2024,2,59.8
ALAMEDA,2024,3,62.1
ALAMEDA,2024,4,68.6
ALAMEDA,2024,5,75.1
ALAMEDA,2024,6,83.7
ALAMEDA,2024,7,90.2
ALAMEDA,2024,8,84.7
ALAMEDA,2024,9,84.2
ALAMEDA,2024,10,81.4
ALAMEDA,2024,11,62.8
ALAMEDA,2024,12,60.4
ALAMEDA,2025,1,60.3
ALAMEDA,2025,2,60.9
ALAMEDA,2025,3,62.2
ALAMEDA,2025,4,68.7
ALAMEDA,2025,5,76.3
ALAMEDA,2025,6,80.1
ALAMEDA,2025,7,80.5
ALAMEDA,2025,8,85.6
